product_id,post_title,price,stock_quantity,chiffre_affaires_produit,chiffre_affaires_total
5804.0,Château Le Puy Bordeaux Côtes-de-Francs Emilien 2016,25.0,0.0,0.0,388287.4999999999
5019.0,Château Tour Des Gendres Bergerac Blanc Moulin Des Dames 2016,19.8,0.0,0.0,388287.4999999999
4636.0,Marcel Windholtz Eau de Vie de Framboise d'Alsace,50.0,4.0,200.0,388287.4999999999
4052.0,Clos du Mont-Olivet Châteauneuf-du-Pape Blanc 2019,33.7,35.0,1179.5,388287.4999999999
5896.0,Thevenet Quintaine Viré-Clessé La Bongran 2015,24.7,17.0,419.9,388287.4999999999
6207.0,Domaine Giudicelli Patrimonio Rouge 2016,25.2,363.0,9147.6,388287.4999999999
4098.0,Paul Ginglinger Pinot Noir Les Rocailles 2016,22.1,22.0,486.20000000000005,388287.4999999999
5829.0,Agnès Levet Côte Rôtie Péroline 2017,57.0,26.0,1482.0,388287.4999999999
4147.0,Champagne Mailly Grand Cru Extra Brut Millésimé 2012,33.0,7.0,231.0,388287.4999999999
4601.0,Catherine et Claude Maréchal Bourgogne Aligoté 2018,16.1,31.0,499.1,388287.4999999999
5899.0,Stéphane Tissot Arbois Blanc Les Bruyères 2015,28.1,0.0,0.0,388287.4999999999
4142.0,Champagne Gosset Grand Millésime 2006,53.0,8.0,424.0,388287.4999999999
4107.0,Emile Boeckel Pinot Noir Terres Rouges 2016,35.0,35.0,1225.0,388287.4999999999
4964.0,Château Turcaud Bordeaux Rouge Cuvée Majeure 2018,12.1,72.0,871.1999999999999,388287.4999999999
5573.0,Domaine Huet Vouvray Le Clos du Bourg Demi-Sec 2017,34.7,5.0,173.5,388287.4999999999
5016.0,Château Tour Des Gendres Bergerac Blanc Cuvée Des Conti 2017,9.3,1.0,9.3,388287.4999999999
4401.0,Cognac Frapin VSOP,62.5,1.0,62.5,388287.4999999999
4604.0,Catherine et Claude Maréchal Pommard La Chanière 2016,49.0,9.0,441.0,388287.4999999999
6628.0,Weingut Besson-Strasser Zürich Blauer Zweigelt 2016,32.2,31.0,998.2,388287.4999999999
4065.0,Oratoire Saint Martin Cairanne Rouge Les Douyes 2016,19.5,35.0,682.5,388287.4999999999
6204.0,Domaine Giudicelli Muscat du Cap Corse 2016,31.0,7.0,217.0,388287.4999999999
3850.0,Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018,20.8,0.0,0.0,388287.4999999999
